Date,deviceID,target,Change_Pts_per_day
246,2022-01-13,nm-mngd-20210927-4a1de38c,Atlanta,1
247,2022-01-13,nm-mngd-20210927-4a1de38c,Chicago,4
248,2022-01-13,nm-mngd-20210927-4a1de38c,Seattle,1
249,2022-01-13,nm-mngd-20210927-9044c591,Atlanta,9
250,2022-01-13,nm-mngd-20210927-9044c591,Chicago,19
251,2022-01-13,nm-mngd-20210927-9044c591,Seattle,15
252,2022-01-14,nm-mngd-20210518-221fcce5,Atlanta,1
253,2022-01-14,nm-mngd-20210518-221fcce5,Chicago,1
254,2022-01-14,nm-mngd-20210518-221fcce5,Seattle,1
255,2022-01-14,nm-mngd-20210518-f2242dfd,Atlanta,1
256,2022-01-14,nm-mngd-20210518-f2242dfd,Chicago,9
257,2022-01-14,nm-mngd-20210518-f2242dfd,Seattle,1
258,2022-01-14,nm-mngd-20210924-77f105f0,Atlanta,1
259,2022-01-14,nm-mngd-20210924-77f105f0,Chicago,8
260,2022-01-14,nm-mngd-20210924-77f105f0,Seattle,2
261,2022-01-14,nm-mngd-20210927-1aaa32b5,Atlanta,4
262,2022-01-14,nm-mngd-20210927-1aaa32b5,Chicago,9
263,2022-01-14,nm-mngd-20210927-1aaa32b5,Seattle,4
264,2022-01-14,nm-mngd-20210927-4a1de38c,Atlanta,1
265,2022-01-14,nm-mngd-20210927-4a1de38c,Chicago,6
266,2022-01-14,nm-mngd-20210927-4a1de38c,Seattle,1
267,2022-01-14,nm-mngd-20210927-9044c591,Atlanta,1
268,2022-01-14,nm-mngd-20210927-9044c591,Chicago,11
269,2022-01-14,nm-mngd-20210927-9044c591,Seattle,2
270,2022-01-15,nm-mngd-20210518-221fcce5,Atlanta,1
271,2022-01-15,nm-mngd-20210518-221fcce5,Chicago,5
272,2022-01-15,nm-mngd-20210518-221fcce5,Seattle,1
273,2022-01-15,nm-mngd-20210518-f2242dfd,Atlanta,1
274,2022-01-15,nm-mngd-20210518-f2242dfd,Chicago,6
275,2022-01-15,nm-mngd-20210518-f2242dfd,Seattle,1
276,2022-01-15,nm-mngd-20210924-77f105f0,Atlanta,4
