time,speedtest_ookla_download,speedtest_ookla_upload,speedtest_ndt7_download,speedtest_ookla_latency,speedtest_ndt7_downloadretrans,speedtest_ookla_jitter,speedtest_ookla_pktloss2,iperf_udp_download,speedtest_ndt7_minrtt,google_rtt_max_ms_under_ul,google_rtt_max_ms_under_dl,google_rtt_max_ms,dns_query_avg_ms,dns_query_max_ms,install
2021-07-01 05:35:27.782651+00:00,,,,,,,,,,,,8.57,21.5,47.0,Hyde Park
2021-07-01 05:40:28.243493+00:00,,,,,,,,,,,,11.911,22.0,51.0,Hyde Park
2021-07-01 05:45:27.607309+00:00,,,,,,,,,,,,8.233,28.5,119.0,Hyde Park
2021-07-01 05:50:31.747348+00:00,,,,,,,,,,,,11.321,25.0,51.0,Hyde Park
2021-07-01 05:55:30.396381+00:00,,,,,,,,,,,,8.252,20.5,51.0,Hyde Park
2021-07-01 06:00:28.337153+00:00,,,,,,,,,,,,8.014,26.5,51.0,Hyde Park
2021-07-01 06:05:28.093870+00:00,,,,,,,,,,,,11.21,35.0,123.0,Hyde Park
2021-07-01 06:10:32.291081+00:00,,,,,,,,,,,,10.16,18.5,43.0,Hyde Park
2021-07-01 06:11:23.107624+00:00,,,,,,,,583.0,,,,,,,Hyde Park
2021-07-01 06:14:02.736604+00:00,940.138736,41.76888,927.7470737535695,9.577,0.0,1.294,0.0,,4.689,20.09,12.593,,,,Hyde Park
2021-07-01 06:15:30.038054+00:00,,,,,,,,,,,,12.653,26.5,51.0,Hyde Park
2021-07-01 06:20:28.122906+00:00,,,,,,,,,,,,12.728,26.5,55.0,Hyde Park
2021-07-01 06:25:28.888623+00:00,,,,,,,,,,,,12.389,26.0,51.0,Hyde Park
2021-07-01 06:30:29.179660+00:00,,,,,,,,,,,,16.895,23.0,51.0,Hyde Park
2021-07-01 06:35:27.522326+00:00,,,,,,,,,,,,15.381,40.5,127.0,Hyde Park
2021-07-01 06:40:29.576439+00:00,,,,,,,,,,,,10.488,20.5,47.0,Hyde Park
2021-07-01 06:45:31.044621+00:00,,,,,,,,,,,,11.402,19.0,51.0,Hyde Park
2021-07-01 06:50:28.382376+00:00,,,,,,,,,,,,10.547,27.0,59.0,Hyde Park
2021-07-01 06:55:34.135109+00:00,,,,,,,,,,,,12.517,29.5,119.0,Hyde Park
2021-07-01 07:00:29.974397+00:00,,,,,,,,,,,,13.229,27.0,79.0,Hyde Park
2021-07-01 07:05:26.989970+00:00,,,,,,,,,,,,10.72,30.0,63.0,Hyde Park
2021-07-01 07:10:27.047141+00:00,,,,,,,,,,,,9.456,39.0,79.0,Hyde Park
2021-07-01 07:15:27.930126+00:00,,,,,,,,,,,,8.145,21.0,43.0,Hyde Park
2021-07-01 07:20:26.845828+00:00,,,,,,,,,,,,9.953,24.5,51.0,Hyde Park
2021-07-01 07:25:28.128103+00:00,,,,,,,,,,,,12.237,33.5,59.0,Hyde Park
2021-07-01 07:30:27.794421+00:00,,,,,,,,,,,,12.616,22.0,47.0,Hyde Park
2021-07-01 07:35:32.665945+00:00,,,,,,,,,,,,14.812,25.5,59.0,Hyde Park
2021-07-01 07:40:28.883921+00:00,,,,,,,,,,,,8.251,24.0,55.0,Hyde Park
2021-07-01 07:45:27.308523+00:00,,,,,,,,,,,,8.066,35.5,91.0,Hyde Park
2021-07-01 07:50:26.718508+00:00,,,,,,,,,,,,8.691,25.0,55.0,Hyde Park
2021-07-01 07:55:28.504590+00:00,,,,,,,,,,,,11.738,24.5,55.0,Hyde Park
2021-07-01 08:00:30.442949+00:00,,,,,,,,,,,,9.895,28.0,111.0,Hyde Park
2021-07-01 08:05:28.092699+00:00,,,,,,,,,,,,7.993,18.0,47.0,Hyde Park
2021-07-01 08:10:26.504687+00:00,,,,,,,,,,,,13.28,23.5,59.0,Hyde Park
2021-07-01 08:14:02.064000+00:00,934.917192,41.677424,865.3835128734785,8.493,0.0,1.289,0.0,,3.402,20.5,17.25,,,,Hyde Park
2021-07-01 08:15:28.020108+00:00,,,,,,,,,,,,8.519,30.0,59.0,Hyde Park
2021-07-01 08:20:27.683895+00:00,,,,,,,,,,,,12.975,29.5,63.0,Hyde Park
2021-07-01 08:25:27.145308+00:00,,,,,,,,,,,,11.33,24.0,55.0,Hyde Park
2021-07-01 08:30:30.647338+00:00,,,,,,,,,,,,12.597,36.5,123.0,Hyde Park
2021-07-01 08:35:29.641047+00:00,,,,,,,,,,,,8.192,24.5,51.0,Hyde Park
2021-07-01 08:40:28.458290+00:00,,,,,,,,,,,,9.279,19.5,51.0,Hyde Park
2021-07-01 08:45:28.243995+00:00,,,,,,,,,,,,14.312,28.5,123.0,Hyde Park
2021-07-01 08:50:31.683313+00:00,,,,,,,,,,,,12.792,40.5,187.0,Hyde Park
2021-07-01 08:55:31.060821+00:00,,,,,,,,,,,,8.779,28.0,51.0,Hyde Park
2021-07-01 09:00:36.028083+00:00,,,,,,,,,,,,8.31,24.5,51.0,Hyde Park
2021-07-01 09:05:28.195572+00:00,,,,,,,,,,,,12.597,27.5,123.0,Hyde Park
2021-07-01 09:10:28.957655+00:00,,,,,,,,,,,,8.912,26.0,55.0,Hyde Park
2021-07-01 09:15:31.620154+00:00,,,,,,,,,,,,12.614,25.5,63.0,Hyde Park
2021-07-01 09:20:28.180983+00:00,,,,,,,,,,,,13.472,13.0,31.0,Hyde Park
2021-07-01 09:25:27.676424+00:00,,,,,,,,,,,,13.172,29.0,63.0,Hyde Park
2021-07-01 09:30:31.442808+00:00,,,,,,,,,,,,7.94,42.5,115.0,Hyde Park
2021-07-01 09:35:29.736515+00:00,,,,,,,,,,,,9.92,25.5,55.0,Hyde Park
2021-07-01 09:40:28.021600+00:00,,,,,,,,,,,,12.108,22.0,51.0,Hyde Park
2021-07-01 09:45:27.742595+00:00,,,,,,,,,,,,8.241,20.0,51.0,Hyde Park
